ID,Comment,Likes,Dislikes,Article,Region,Keyword
32328,"Viado Viado pret0 Deixem os caras furarem o courinho enrugado. Casa um nasceu com um, exatamente para fazerem do mesmo, o melhor uso que lhe convier.",3.0,2.0,"França e Alemanha avançam para proibir 'cura gay', em meio a alta da homofobia",Indefinido,Homofobia
27314,"Todos esses não crer em Deus,sucessivamente não acredita na bíblia sagrada.",6.0,13.0,Casamento coletivo feito com a ajuda de voluntários reúne 46 casais LGBT no Recife,Pernambuco,LGBT
58568,As pessoas querem a implantação da pena de morte no Brasil mas esquecem que aqui tem um grande problema: A desigualdade! Você acha mesmo que o filho de um presidente ou ministro do STJ envolvido em homícidio sera mesmo condenado a injeção letal ???,50.0,4.0,Texas executa supremacista branco por assassinato de negro,Indefinido,Negro
44273,"Me dá pena das crianças em ver tantas coisas feias nas ruas, coisas liberais sem pudor, onde tudo vai ""parecer normal"". As crianças precisam de bons exemplos...",15.0,22.0,STF permite criminalização da homofobia e da transfobia,Indefinido,Transfobia
64845,"Muito bem STF!! Agora é só bater aquele prato singelo na janta. Medalhões de Lagosta na Manteiga Queimada e um bom vinho, desde que seja premiado, tá?",2.0,0.0,Maioria do STF vota por enquadrar homofobia como crime de racismo; julgamento é suspenso ,Indefinido,Racismo
81781,"Grafotécnico existe para que? Ou não existe mais, polícia não anda desvendando é nada!",5.0,0.0,Aluna negra alvo de ameaças em pichações racistas desabafa: 'Não esperava tanto ódio',São Paulo,Racista
21714,"Parem c essa frescura.Mulher q se coloca em trages minusculos,samba na boca do litro ou do pandeiro e fica em rodas de homem procura o quê?",71.0,15.0,Tendas de acolhimento a mulheres e LGBTs registram 10 casos de assédio sexual no carnaval de rua de SP até segunda,São Paulo,LGBT
94351,"Você e sua mãe são pessoas de boas personalidades, mas tens plenas condições de entrar no bisturi de um cirurgião plástico, então corram.",7.0,3.0,"Em resposta a Guedes, filha de Brigitte Macron lança campanha contra misoginia",Indefinido,Misoginia
1229,"Ministros que não tem mais o que fazer, não representam mais o povo, vivem em função de alimentar seus egos, homens sem honra que vivem se escondendo atras de uma constituição fraudulenta.",6.0,0.0,Toffoli concede liminar e autoriza Netflix a exibir Especial de Natal do Porta dos Fundos,Indefinido,Homosexual
21036,MENTIRA!!!!,3.0,0.0,"Maioria diz que gênero e sexualidade devem entrar no currículo escolar, diz pesquisa encomendada pelo MEC",Indefinido,Homofóbico
1796,"ate zombar de politicos tudo bem, mas mexer com a religiao nao do povo critao NÃO.",2.0,1.0,Toffoli concede liminar e autoriza Netflix a exibir Especial de Natal do Porta dos Fundos,Indefinido,Homosexual
36967,"Palhaçada tem hora ! Só faltam agora criminalizar a gordofobia, a magrofobia, a feiurafobia, a senadofobia Virou bagunça e Sodoma e Gomorra está em moda Era ativismo da minoria barulhenta ditando valores para a maioria silenciosa",3.0,7.0,Comissão de Constituição e Justiça do Senado aprova em 1º turno projeto que criminaliza homofobia,Indefinido,Homofobia
